,rf
accounting,0.28
airport,0.01
amusement_park,0.0
aquarium,0.0
art_gallery,0.31
atm,0.47
bakery,0.61
bank,0.48
bar,0.53
beauty_salon,0.63
bicycle_store,0.19
book_store,0.27
bowling_alley,0.02
bus_station,0.62
cafe,0.6
campground,0.0
car_dealer,0.33
car_rental,0.11
car_repair,0.39
car_wash,0.13
casino,0.0
cemetery,0.06
church,0.32
city_hall,0.17
clothing_store,0.61
convenience_store,0.06
courthouse,0.08
dentist,0.64
department_store,0.18
doctor,0.83
electrician,0.46
electronics_store,0.71
embassy,0.11
fire_station,0.04
florist,0.34
funeral_home,0.18
furniture_store,0.47
gas_station,0.52
gym,0.39
hair_care,0.63
hardware_store,0.1
home_goods_store,0.54
hospital,0.25
insurance_agency,0.52
jewelry_store,0.29
laundry,0.17
lawyer,0.41
library,0.21
liquor_store,0.22
local_government_office,0.38
locksmith,0.24
lodging,0.56
meal_delivery,0.19
meal_takeaway,0.41
mosque,0.03
movie_rental,0.01
movie_theater,0.14
moving_company,0.23
museum,0.21
night_club,0.14
painter,0.44
park,0.23
parking,0.36
pet_store,0.02
pharmacy,0.53
physiotherapist,0.53
plumber,0.11
police,0.22
post_office,0.31
real_estate_agency,0.73
restaurant,0.75
roofing_contractor,0.06
shoe_store,0.45
shopping_mall,0.28
spa,0.51
stadium,0.08
storage,0.16
store,1.0
subway_station,0.06
synagogue,0.0
taxi_stand,0.1
train_station,0.23
transit_station,0.63
travel_agency,0.49
university,0.13
veterinary_care,0.26
zoo,0.0
